TallyType,Surface,Distance,Energy,Counts,Uncertainty
tally_type_1,7,0.0,0.0,0.0,0.0
tally_type_1,7,0.0,1.0000000000000001e-07,366.372,0.0443
tally_type_1,7,0.0,1.0463e-07,30.0109,0.1553
tally_type_1,7,0.0,1.0947e-07,38.5815,0.1391
tally_type_1,7,0.0,1.1454e-07,38.2709,0.1405
tally_type_1,7,0.0,1.1984e-07,39.6233,0.1341
tally_type_1,7,0.0,1.2538999999999999e-07,40.8756,0.1348
tally_type_1,7,0.0,1.3119e-07,48.6036,0.1181
tally_type_1,7,0.0,1.3726e-07,54.0072,0.1144
tally_type_1,7,0.0,1.4361999999999999e-07,44.0911,0.1236
tally_type_1,7,0.0,1.5026999999999998e-07,55.3519,0.1133
tally_type_1,7,0.0,1.5722e-07,86.6932,0.0906
tally_type_1,7,0.0,1.645e-07,90.1809,0.0913
tally_type_1,7,0.0,1.7211e-07,95.8305,0.0868
tally_type_1,7,0.0,1.8007999999999998e-07,97.8281,0.0844
tally_type_1,7,0.0,1.8841e-07,111.323,0.0799
tally_type_1,7,0.0,1.9713e-07,115.4,0.0779
tally_type_1,7,0.0,2.0626e-07,121.63799999999999,0.0769
tally_type_1,7,0.0,2.1581e-07,155.766,0.0675
tally_type_1,7,0.0,2.2580000000000002e-07,181.564,0.0628
tally_type_1,7,0.0,2.3625e-07,180.92000000000002,0.063
tally_type_1,7,0.0,2.4718e-07,185.207,0.0621
tally_type_1,7,0.0,2.5861999999999997e-07,217.60399999999998,0.0572
tally_type_1,7,0.0,2.7059e-07,240.831,0.0543
tally_type_1,7,0.0,2.8312e-07,253.803,0.0535
tally_type_1,7,0.0,2.9622e-07,278.315,0.0509
tally_type_1,7,0.0,3.0994000000000003e-07,282.79,0.0497
tally_type_1,7,0.0,3.2428e-07,366.075,0.0443
tally_type_1,7,0.0,3.3929e-07,389.60699999999997,0.0428
tally_type_1,7,0.0,3.55e-07,371.31,0.0437
tally_type_1,7,0.0,3.7143e-07,440.379,0.0405
tally_type_1,7,0.0,3.8862e-07,481.15000000000003,0.0387
tally_type_1,7,0.0,4.0661e-07,557.264,0.0356
tally_type_1,7,0.0,4.2543e-07,557.3530000000001,0.0355
tally_type_1,7,0.0,4.4512e-07,609.2009999999999,0.0339
tally_type_1,7,0.0,4.6573000000000003e-07,663.338,0.0328
tally_type_1,7,0.0,4.8728e-07,820.639,0.0296
tally_type_1,7,0.0,5.0984e-07,808.1089999999999,0.0295
tally_type_1,7,0.0,5.3344e-07,909.813,0.028
tally_type_1,7,0.0,5.5813e-07,999.366,0.0268
tally_type_1,7,0.0,5.8396e-07,1103.74,0.0253
tally_type_1,7,0.0,6.1099e-07,1222.37,0.0241
tally_type_1,7,0.0,6.3927e-07,1282.3400000000001,0.0236
tally_type_1,7,0.0,6.6886e-07,1417.8700000000001,0.0224
tally_type_1,7,0.0,6.9982e-07,1582.76,0.0211
tally_type_1,7,0.0,7.3222e-07,1757.09,0.0201
tally_type_1,7,0.0,7.661099999999999e-07,1918.4799999999998,0.0191
tally_type_1,7,0.0,8.0157e-07,2108.3,0.0184
tally_type_1,7,0.0,8.386699999999999e-07,2292.5699999999997,0.0176
tally_type_1,7,0.0,8.7749e-07,2553.83,0.0167
tally_type_1,7,0.0,9.1811e-07,2922.3,0.0156
tally_type_1,7,0.0,9.606e-07,3041.14,0.0153
tally_type_1,7,0.0,1.0051e-06,3289.81,0.0147
tally_type_1,7,0.0,1.0516e-06,3704.11,0.0139
